id;name;price;stock;logo;logo_content_type
1;Generic Steel Tuna;53676;31485;../fake-data/blob/hipster.png;image/png
2;calculating South Dakota monetize;90460;98666;../fake-data/blob/hipster.png;image/png
3;virtual wireless Computer;76146;89830;../fake-data/blob/hipster.png;image/png
4;Dynamic magenta Track;62989;28913;../fake-data/blob/hipster.png;image/png
5;THX;8294;93728;../fake-data/blob/hipster.png;image/png
6;Rustic Steel Soap Kina;44325;83023;../fake-data/blob/hipster.png;image/png
7;Metical partnerships;32061;94707;../fake-data/blob/hipster.png;image/png
8;Union transmitting;27988;55080;../fake-data/blob/hipster.png;image/png
9;initiative green;60561;70316;../fake-data/blob/hipster.png;image/png
10;Gloves Lao People's Democratic Republic;16516;29161;../fake-data/blob/hipster.png;image/png
